Epoch,Loss,TrainAccuracy,TestAccuracy,Times(s)
1,1.4981751461950372,0.35,0.36666666666666664,3645.319344997406
2,1.4724008605204226,0.36666666666666664,0.36666666666666664,3938.4310569763184
3,1.4366939998724166,0.35833333333333334,0.36666666666666664,3616.6874709129333
4,1.366044704511572,0.375,0.4,3348.7091541290283
5,1.3700457288174135,0.39166666666666666,0.36666666666666664,3374.8387632369995
6,1.388409184771679,0.4166666666666667,0.36666666666666664,3389.061377763748
7,1.3890324774329235,0.425,0.36666666666666664,3418.092394590378
8,1.3947242816290932,0.44166666666666665,0.36666666666666664,3389.2439081668854
9,1.3735665269478106,0.44166666666666665,0.36666666666666664,3394.8229348659515
10,1.3853412078969904,0.43333333333333335,0.36666666666666664,3397.1159965991974
11,1.3558632560489494,0.475,0.4,3650.049423456192
12,1.3309164458057965,0.475,0.4,3971.0677144527435
13,1.3314178582533842,0.475,0.4,3968.313183784485
14,1.3141424615342991,0.49166666666666664,0.4,3989.321818590164
15,1.2865112546472814,0.4666666666666667,0.4666666666666667,4004.9674549102783
16,1.2568134751567892,0.49166666666666664,0.4666666666666667,3980.2206795215607
17,1.2390416472803598,0.48333333333333334,0.4666666666666667,3583.5333530902863
18,1.2219082720475831,0.48333333333333334,0.4666666666666667,3368.6618328094482
19,1.2136581576371757,0.48333333333333334,0.4666666666666667,3366.2879781723022
20,1.2154099728978534,0.5,0.4666666666666667,3389.9989392757416
21,1.1924210613014603,0.49166666666666664,0.4666666666666667,3390.1979007720947
22,1.1633213962483637,0.525,0.4666666666666667,3395.200489759445
23,1.1531096942366792,0.5,0.4666666666666667,3392.684054851532
24,1.1337491061947833,0.5,0.4666666666666667,3395.446233034134
25,1.1157616738937481,0.5,0.4666666666666667,3393.596944332123
26,1.10017580643828,0.5,0.4666666666666667,3396.1373813152313
27,1.0846578416360027,0.5,0.4666666666666667,3399.556241750717
28,1.070292627050714,0.5,0.4666666666666667,3402.7091574668884
29,1.0589678217662188,0.5083333333333333,0.4666666666666667,3419.341168165207
30,1.0463133767688217,0.5166666666666667,0.4666666666666667,3419.5516912937164
31,1.0450317953446997,0.5166666666666667,0.4666666666666667,3425.095080137253
32,1.0415583966806312,0.5083333333333333,0.4666666666666667,3402.2499585151672
33,1.0270134639988913,0.525,0.4666666666666667,3402.16481590271
34,1.0265495158873725,0.5333333333333333,0.4666666666666667,3404.7121715545654
35,1.0144844321493312,0.5416666666666666,0.4666666666666667,3402.487005710602
36,1.009037566286416,0.5416666666666666,0.4666666666666667,3402.353942632675
37,1.0005342059877151,0.5416666666666666,0.4666666666666667,3410.8255264759064
38,0.99087851585922,0.5416666666666666,0.4666666666666667,3405.334812641144
39,0.9832250673676085,0.5416666666666666,0.4666666666666667,3375.987365961075
40,0.9747131446391127,0.5416666666666666,0.4666666666666667,3217.5749051570892
41,0.970601041949547,0.5416666666666666,0.4666666666666667,3220.127012729645
42,0.9605905686848163,0.5416666666666666,0.4666666666666667,3223.7103633880615
43,0.9577768579402482,0.5416666666666666,0.4666666666666667,3223.8474428653717
44,0.9485051774028548,0.5416666666666666,0.4666666666666667,3195.1124296188354
45,0.9477588574817543,0.5416666666666666,0.4666666666666667,3196.0608248710632
46,0.934730313025621,0.5416666666666666,0.4666666666666667,3223.0815255641937
47,0.9298849914675421,0.5416666666666666,0.4666666666666667,3224.9048521518707
48,0.9248421989652551,0.5416666666666666,0.4666666666666667,3230.3889141082764
49,0.9204794400375941,0.5416666666666666,0.4666666666666667,3224.4167342185974
50,0.916214243256977,0.5416666666666666,0.4666666666666667,3226.90602684021
