Epoch,Loss,TrainAccuracy,TestAccuracy,Times(s)
1,1.527583345803019,0.39166666666666666,0.4,1285.6842761039734
2,1.5046391748655983,0.39166666666666666,0.4,1262.1836373806
3,1.4819268090592124,0.38333333333333336,0.4,1266.825248003006
4,1.4827758121572332,0.39166666666666666,0.43333333333333335,1276.1604948043823
5,1.4554744751739321,0.4083333333333333,0.4,1278.9176290035248
6,1.4303737956554514,0.4083333333333333,0.4,1279.4262988567352
7,1.4049702124646615,0.39166666666666666,0.43333333333333335,1276.865270614624
8,1.381525109026712,0.39166666666666666,0.4666666666666667,1279.4111456871033
9,1.359721952848042,0.4,0.43333333333333335,1276.425374031067
10,1.3394078944020635,0.4,0.43333333333333335,1286.2903237342834
11,1.3202524073450974,0.38333333333333336,0.4,1267.8453855514526
12,1.3028718964450927,0.4,0.4,1266.5470809936523
13,1.286958178189472,0.4,0.4,1272.647795677185
14,1.274550084513303,0.4,0.4,1273.0151031017303
15,1.287201613912212,0.4166666666666667,0.43333333333333335,1271.969479560852
16,1.2739687493730576,0.4166666666666667,0.4666666666666667,1275.801596879959
17,1.2606439757274506,0.4166666666666667,0.4666666666666667,1272.8418052196503
18,1.244353807996931,0.43333333333333335,0.4666666666666667,1281.5877089500427
19,1.231078149255578,0.45,0.4666666666666667,1277.9971504211426
20,1.217558500417188,0.4583333333333333,0.4666666666666667,1274.934684753418
21,1.2051751908845698,0.4583333333333333,0.4666666666666667,1272.2412958145142
22,1.1938528838234466,0.4583333333333333,0.4666666666666667,1286.13112616539
23,1.1832213634810045,0.475,0.4666666666666667,1284.7523119449615
24,1.201032080705834,0.48333333333333334,0.4666666666666667,1265.066710472107
25,1.1958349865910292,0.5,0.4666666666666667,1264.595466852188
26,1.185274331488752,0.5,0.4666666666666667,1274.3926639556885
27,1.175179278639076,0.5,0.4666666666666667,1272.9965460300446
28,1.1659416389089934,0.5,0.4666666666666667,1273.2128331661224
29,1.188298957976014,0.5083333333333333,0.4666666666666667,1267.316508769989
30,1.1778219835528565,0.5083333333333333,0.4666666666666667,1270.0310099124908
31,1.1687163405989955,0.5083333333333333,0.4666666666666667,1270.8992273807526
32,1.1616222651235424,0.5166666666666667,0.4666666666666667,1269.5953061580658
33,1.1549842898075156,0.5166666666666667,0.5,1274.2979941368103
34,1.148572389059541,0.575,0.5333333333333333,1266.0237002372742
35,1.1425000208888354,0.5833333333333334,0.5333333333333333,1268.4937512874603
36,1.1396338127095347,0.575,0.5333333333333333,1266.718477487564
37,1.1339233300915719,0.5833333333333334,0.5333333333333333,1269.099092245102
38,1.128384690536113,0.5833333333333334,0.5333333333333333,1265.993229150772
39,1.122861009767124,0.5833333333333334,0.5333333333333333,1272.1399092674255
40,1.1174554596685435,0.6,0.5666666666666667,1274.6671872138977
41,1.1121781067126413,0.6,0.5666666666666667,1268.6325170993805
42,1.1070076323297768,0.6,0.5666666666666667,1270.6834371089935
43,1.1019583894727831,0.6083333333333333,0.5666666666666667,1269.6755166053772
44,1.0970460728719509,0.6333333333333333,0.5666666666666667,1271.9257447719574
45,1.092344068941084,0.625,0.5666666666666667,1273.6847157478333
46,1.087747444439016,0.625,0.5666666666666667,1270.9165880680084
47,1.083318872509012,0.5666666666666667,0.5666666666666667,1270.8517463207245
48,1.0954177083517147,0.575,0.5666666666666667,1277.9374012947083
49,1.090686965970483,0.575,0.5666666666666667,1279.9496591091156
50,1.0861685346659153,0.5833333333333334,0.5666666666666667,1286.0182392597198
