epoch,train_loss,train_accuracy,test_accuracy,time
1,0.9535366892814636,0.6166666746139526,0.7666666507720947,0.876384973526001
2,0.8383923768997192,0.6833333373069763,0.699999988079071,0.059792280197143555
3,0.7940697073936462,0.699999988079071,0.6666666865348816,0.06471705436706543
4,0.7376860976219177,0.7166666388511658,0.800000011920929,0.06114768981933594
5,0.6878191828727722,0.7666666507720947,0.8333333134651184,0.06180167198181152
6,0.6380264163017273,0.7916666865348816,0.8666666746139526,0.06654930114746094
7,0.5924518704414368,0.8166666626930237,0.8999999761581421,0.06683015823364258
8,0.5532063245773315,0.8416666388511658,0.9666666388511658,0.07216525077819824
9,0.515623927116394,0.8916666507720947,0.9666666388511658,0.07376575469970703
10,0.4812842607498169,0.8916666507720947,0.9333333373069763,0.0741124153137207
11,0.4471823573112488,0.8999999761581421,0.9666666388511658,0.07158541679382324
12,0.41709649562835693,0.9166666865348816,0.9666666388511658,0.07336163520812988
13,0.3957069218158722,0.9333333373069763,0.9666666388511658,0.07136678695678711
14,0.36042582988739014,0.925000011920929,0.9666666388511658,0.06376767158508301
15,0.3452611565589905,0.9333333373069763,0.9666666388511658,0.06615447998046875
16,0.31526806950569153,0.9416666626930237,0.9666666388511658,0.07506322860717773
17,0.29782727360725403,0.949999988079071,1.0,0.0721886157989502
18,0.27467045187950134,0.9333333373069763,1.0,0.07346987724304199
19,0.2588445842266083,0.9333333373069763,1.0,0.06727361679077148
20,0.24851030111312866,0.949999988079071,0.9666666388511658,0.059383392333984375
21,0.2305469512939453,0.9416666626930237,1.0,0.06260538101196289
22,0.210409477353096,0.9583333134651184,0.9666666388511658,0.06142139434814453
23,0.2010064721107483,0.9583333134651184,0.9666666388511658,0.0585784912109375
24,0.18911996483802795,0.9583333134651184,1.0,0.06194758415222168
25,0.1814391314983368,0.949999988079071,0.9666666388511658,0.05880022048950195
26,0.16444705426692963,0.9583333134651184,1.0,0.07098817825317383
27,0.15952719748020172,0.9583333134651184,0.9666666388511658,0.07290768623352051
28,0.1480744332075119,0.9666666388511658,0.9666666388511658,0.0743250846862793
29,0.1604655683040619,0.9416666626930237,1.0,0.06131601333618164
30,0.13716670870780945,0.9583333134651184,0.9666666388511658,0.060883522033691406
31,0.12793417274951935,0.9666666388511658,1.0,0.059035539627075195
32,0.12420344352722168,0.9666666388511658,0.9666666388511658,0.06223893165588379
33,0.11481113731861115,0.9583333134651184,0.9666666388511658,0.07024645805358887
34,0.1158830001950264,0.949999988079071,1.0,0.07860684394836426
35,0.10425006598234177,0.9583333134651184,0.9666666388511658,0.07115697860717773
36,0.10348500311374664,0.9583333134651184,0.9666666388511658,0.07019281387329102
37,0.09719325602054596,0.9666666388511658,0.9666666388511658,0.0678865909576416
38,0.09714766591787338,0.9583333134651184,0.9666666388511658,0.0608677864074707
39,0.09182540327310562,0.9666666388511658,0.9666666388511658,0.06287169456481934
40,0.0882493257522583,0.9583333134651184,0.9666666388511658,0.059299468994140625
41,0.09307152777910233,0.9583333134651184,0.9666666388511658,0.061183929443359375
42,0.08261454850435257,0.9583333134651184,1.0,0.06122279167175293
43,0.08321864157915115,0.9750000238418579,0.9666666388511658,0.06049489974975586
44,0.08062461763620377,0.9583333134651184,0.9666666388511658,0.06397128105163574
45,0.07716242223978043,0.9583333134651184,0.9666666388511658,0.06131410598754883
46,0.07713862508535385,0.9666666388511658,0.9666666388511658,0.060622453689575195
47,0.07627800852060318,0.9583333134651184,1.0,0.06481623649597168
48,0.07984180748462677,0.9750000238418579,1.0,0.0691688060760498
49,0.06830140948295593,0.9833333492279053,0.9666666388511658,0.06908750534057617
50,0.07547203451395035,0.9666666388511658,0.9666666388511658,0.07065844535827637
