Epoch,Loss,Train RMSE,Test RMSE,Time
1,8.210010224808148,8.101613671109998,7.859339139460568,2786.2397799491882
2,6.387168279637663,6.336338108945791,6.09167845270609,3030.3332834243774
3,5.733335139957744,5.697174807109388,5.437011751094551,3055.727684020996
4,5.249018068772247,5.218561837756794,4.958064285964652,2692.6696829795837
5,4.836875986796799,4.809739289489928,4.557156533357746,2597.9942569732666
6,4.477857589995274,4.45324399338568,4.212858965657245,2617.646417617798
7,4.162185497803461,4.1397288375472545,3.9137580306562048,2639.4083189964294
8,3.8827229227119915,3.8621880734409046,3.6516074313191456,2666.4552035331726
9,3.633890745129952,3.615092058193545,3.420079511699449,2632.694199323654
10,3.4112322851114882,3.3940098929635067,3.2142273163350326,2634.419866323471
11,3.211135701499632,3.1953476181654112,3.030132793366799,2631.559838294983
12,3.030636732060919,3.016155441488356,2.8646545600650524,2629.348699092865
13,2.8672745877520853,2.853985032888464,2.7152437366963253,2626.967660665512
14,2.718985142062835,2.7067832466026727,2.5798084264708865,2772.8094000816345
15,2.5840207580813956,2.5728122185200686,2.456613194153957,3069.493058204651
16,2.460889356563319,2.4505886116515034,2.3442038216526733,3073.759088039398
17,2.3483075327107836,2.338836867829901,2.241350426820391,3075.4611797332764
18,2.2451640450529258,2.236452806242312,2.1470040245560558,3084.8195531368256
19,2.1504910491425955,2.1424749489171386,2.0602630125444246,3078.693955898285
20,2.0634411800974855,2.056061681321474,1.9803470506508354,3078.4183161258698
21,1.9832691016771151,1.9764728685207784,1.9065764989154566,3082.669023990631
22,1.9093165035372748,1.9030549105703785,1.8383560727749961,2717.5216438770294
23,1.840999788586047,1.8352284806164831,1.7751617268194042,2627.1717290878296
24,1.7777998803062747,1.7724783767865424,1.7165300322651702,2628.9200365543365
25,1.719253716939449,1.7143450557265036,1.6620494975119875,2651.404709339142
26,1.6649471003077219,1.6604175163325472,1.6113534158263796,2640.713838815689
27,1.614508642030642,1.610327277057665,1.5641139234363444,2644.8985624313354
28,1.5676046061418247,1.5637432463083087,1.5200370250044362,2639.889778614044
29,1.5239344896892264,1.5203673279362113,1.4788583985593338,2640.427710533142
30,1.4832272154145054,1.4799306362727669,1.4403398334845665,2643.6311643123627
31,1.4452378356406435,1.442190220132013,1.4042661866595345,2642.700283765793
32,1.4097446659283557,1.4069262145956007,1.3704427659042382,2650.994587659836
33,1.376546782261804,1.3739393545576608,1.3386930683752627,2645.416168689728
34,1.3454618275033905,1.3430487959577022,1.3088568158747487,2646.1436116695404
35,1.3163240823667077,1.3140902001151107,1.280788240183498,2651.079874277115
36,1.2889827637583966,1.2869140441605245,1.254354580269422,2650.988064289093
37,1.2633005194577802,1.261384126660654,1.2294347601176714,2651.689024925232
38,1.2391520930598596,1.2373762424755146,1.2059182214031894,2653.2702598571777
39,1.2164231371489556,1.2147770049163893,1.1837038896006193,2653.8943161964417
40,1.1950091559864897,1.1934827965783716,1.1626992556439548,2657.4864468574524
41,1.174814561733916,1.1733988329494922,1.1428195580949618,2662.9469816684723
42,1.155751830504937,1.1544383251633306,1.1239870530978622,2655.2889053821564
43,1.1377407464393434,1.1365217301529411,1.1061303612980233,2653.9873661994934
44,1.1207077235846588,1.1195760780512756,1.0891838824696385,2648.6651871204376
45,1.1045851967170015,1.1035343680227543,1.0730872698979623,2649.0373635292053
46,1.0893110733736797,1.0883350248465449,1.0577849576474145,2654.146571159363
47,1.0748282403425413,1.0739214095399847,1.0432257347585854,2658.673562526703
48,1.0610841186856397,1.0602413781389346,1.0293623611870586,2659.443908929825
49,1.0480302620904738,1.0472468834637843,1.016151220950576,2650.51593542099
50,1.0356219939597537,1.034893615314134,1.0035520085088032,2653.9087147712708
