step,train_loss,test_loss,train_acc,test_acc
1,1.2356747388839722,1.3196920156478882,0.39047619700431824,0.3333333432674408
2,11.75023365020752,10.899754524230957,0.3523809611797333,0.2888889014720917
3,3.2581465244293213,2.932380199432373,0.5333333611488342,0.5777778029441833
4,1.148362636566162,1.512489676475525,0.6000000238418579,0.4888888895511627
5,1.815028429031372,2.1968159675598145,0.20000000298023224,0.08888889104127884
6,1.6806540489196777,1.2532681226730347,0.15238095819950104,0.24444444477558136
7,1.309858798980713,1.1752671003341675,0.3333333432674408,0.31111112236976624
8,1.5705565214157104,1.835923433303833,0.2380952388048172,0.2666666805744171
9,1.4367120265960693,1.5303552150726318,0.1428571492433548,0.20000000298023224
10,1.2430789470672607,1.107532024383545,0.2857142984867096,0.35555556416511536
11,0.9698182344436646,0.8941148519515991,0.5047619342803955,0.4888888895511627
12,1.153587818145752,1.1670289039611816,0.4095238149166107,0.4444444477558136
13,1.6359364986419678,2.138669729232788,0.34285715222358704,0.2888889014720917
14,2.000960111618042,1.7835580110549927,0.15238095819950104,0.24444444477558136
15,4.516162872314453,5.568039894104004,0.2857142984867096,0.4444444477558136
16,4.319083213806152,4.392091751098633,0.2380952388048172,0.17777778208255768
17,5.839010715484619,3.9239325523376465,0.2571428716182709,0.20000000298023224
18,1.856294870376587,1.5552302598953247,0.29523810744285583,0.42222222685813904
19,3.061913251876831,3.1104116439819336,0.009523809887468815,0.0
20,1.6094070672988892,1.710254192352295,0.20952381193637848,0.1111111119389534
21,7.187744617462158,5.543662071228027,0.37142857909202576,0.46666666865348816
22,2.019879102706909,2.5907413959503174,0.46666666865348816,0.35555556416511536
23,2.557480812072754,2.846226930618286,0.32380953431129456,0.2666666805744171
24,4.5146403312683105,5.688979148864746,0.24761904776096344,0.2222222238779068
25,2.9892659187316895,2.145535707473755,0.4571428596973419,0.5111111402511597
26,8.897587776184082,10.614605903625488,0.4571428596973419,0.5333333611488342
27,38.31132888793945,53.17450714111328,0.4095238149166107,0.2888889014720917
28,16.120790481567383,11.573678016662598,0.2571428716182709,0.24444444477558136
29,12.256498336791992,9.392729759216309,0.22857142984867096,0.2666666805744171
30,7.217402458190918,3.0109341144561768,0.24761904776096344,0.24444444477558136
31,26.263334274291992,40.850830078125,0.3047619163990021,0.20000000298023224
32,10.467370986938477,9.831918716430664,0.20952381193637848,0.2888889014720917
33,10.27816104888916,6.332549571990967,0.2857142984867096,0.35555556416511536
34,25.046457290649414,20.47632598876953,0.2857142984867096,0.2888889014720917
35,14.00764274597168,12.730688095092773,0.2571428716182709,0.17777778208255768
36,491.05767822265625,611.2737426757812,0.3047619163990021,0.20000000298023224
37,19.66834259033203,18.06707000732422,0.39047619700431824,0.42222222685813904
38,13.523832321166992,5.066529750823975,0.5333333611488342,0.6222222447395325
39,33.65303039550781,0.22049598395824432,0.8285714387893677,0.9111111164093018
40,18.736923217773438,1.1210572719573975,0.723809540271759,0.8666666746139526
41,185.9302978515625,113.48959350585938,0.5142857432365417,0.6666666865348816
42,900.33837890625,978.5213623046875,0.20000000298023224,0.20000000298023224
43,114.8880615234375,126.08767700195312,0.2666666805744171,0.20000000298023224
44,163.1302947998047,59.62437438964844,0.4952380955219269,0.5777778029441833
45,130.15158081054688,42.69424057006836,0.4000000059604645,0.4444444477558136
46,85.24266815185547,23.56094741821289,0.4000000059604645,0.5555555820465088
47,61.31678771972656,16.32168197631836,0.5809524059295654,0.644444465637207
48,53.44544219970703,24.060321807861328,0.5904762148857117,0.644444465637207
49,70.85980987548828,46.82102966308594,0.46666666865348816,0.5555555820465088
50,92.83914947509766,74.5142822265625,0.380952388048172,0.4000000059604645
