Epoch,Loss,Train RMSE,Test RMSE,Time
1,1.4144316072424015,1.4143937545889729,1.3027491414654293,11118.829527139664
2,1.3742451836939011,1.3741718731594665,1.2768504097099087,11064.376011133194
3,1.3164277140301999,1.3162853418887224,1.2666155564399335,11107.177024126053
4,1.2802357735230736,1.2801626725936994,1.2666904563554735,11179.75597190857
5,1.2613045596273813,1.261209430091712,1.2520492430044166,11085.255556821823
6,1.242579482172857,1.242469857496969,1.2365252206076631,11211.357080936432
7,1.2230973000627892,1.2229838955955432,1.221776075969948,11094.044723033905
8,1.2082420525111601,1.2081282666004964,1.213361252419399,11049.686199188232
9,1.1954683160847017,1.1953604748015119,1.20093878664578,10947.866185426712
10,1.1849020426196772,1.1847985489172876,1.1926850775958593,11119.653578042984
11,1.1717301884166496,1.171632910782947,1.1808827665432389,11096.047052145004
12,1.1650996177931332,1.1650066847799192,1.170573469101296,11220.795598983765
13,1.159161250139815,1.1590747403705959,1.1639283804600062,11120.672229766846
14,1.1541458885267055,1.1540649730491774,1.1570991328957234,11041.564809322357
15,1.1459574493142741,1.1458821157564878,1.163424564670491,11168.966255426407
16,1.1340239833390369,1.1339544115847227,1.1550094496729617,11116.294809103012
17,1.1309273957641464,1.1308627755063543,1.1466284233219948,11221.88174200058
18,1.129156425760111,1.1290985712105717,1.1385436363821588,11128.860947608948
19,1.1212519713440345,1.1211997759261403,1.1351672298314117,11113.900258779526
20,1.1144660142400955,1.1144183742238332,1.1293060303340507,11154.512173652649
21,1.1082848558089042,1.1082418753712582,1.1226347379682111,11172.399496555328
22,1.102553283272629,1.102514340111908,1.1169424376672226,11125.09356546402
23,1.0971684285293912,1.0971333045665772,1.110923672321846,11120.56702876091
24,1.0912437069612455,1.0912122405839877,1.105070516217925,11098.592175722122
25,1.0865796975224238,1.0865512081618411,1.0997108002936025,11043.192258119583
26,1.082179433316755,1.082153894270038,1.094322841101966,11160.659238100052
27,1.0780153473501277,1.0779925914309147,1.0898467131175034,11130.810783863068
28,1.0740562595969747,1.0740359989706925,1.0862581740933583,11152.444020986557
29,1.070212281870795,1.07019393598871,1.0824383543138165,10887.296854019165
30,1.0666630871880807,1.0666468500536208,1.0778472846465064,10907.843420505524
31,1.0631687687752662,1.0631541140579537,1.0750201445697904,10803.778356552124
32,1.059746176303322,1.0597330505036422,1.0710739616272618,10848.138282060623
33,1.0564107703472614,1.056398873049853,1.0506670627801211,11001.395308732986
34,1.0532324665083743,1.0532215842127832,1.0474577886571514,10866.447714805603
35,1.0503103490259316,1.0503006952441554,1.0445963143234231,10873.610321044922
36,1.0474493245169876,1.047440654270569,1.0421521579036668,10916.009686470032
37,1.0445724980190967,1.0445631463123315,1.039926124069958,10905.018851041794
38,1.0417325370143744,1.0417230511442914,1.0375525720929246,10993.693947315216
39,1.0391322030881733,1.0391232397598287,1.0356283555485926,10834.099511861801
40,1.0488126895271552,1.0487902162124707,1.0336954130875498,10855.810483455658
41,1.046378678873679,1.0463629023814718,1.031911282609208,10991.053556919098
42,1.0440938702654672,1.0440834745378962,1.0303004662082518,10839.17833185196
43,1.0484653915396316,1.0484331034613226,1.0282461470114623,10830.02174115181
44,1.0382245055905046,1.0382245021325387,1.0274414625763653,10927.854444742203
45,1.0239866451710855,1.023966161966357,1.0199599052627513,10902.486298799515
46,1.015930118848763,1.0158966227368431,1.0189038656150107,10824.982387304306
47,1.0127137182082684,1.012680963905787,1.0179013281549207,10778.544322252274
48,1.0067684131737331,1.0067368078715657,1.0163697295652752,10887.065566301346
49,1.0082058168513883,1.008174728298124,1.0298180977004106,10902.002288103104
50,1.0063042327050333,1.0062745479329807,1.029131736795376,10832.833720207214
