Epoch,Loss,TrainAccuracy,TestAccuracy,Times(s)
1,1.645734097360968,0.39166666666666666,0.36666666666666664,6240.798410415649
2,1.5982269872057688,0.38333333333333336,0.36666666666666664,6226.49586892128
3,1.548728951402857,0.38333333333333336,0.36666666666666664,6234.562870025635
4,1.5090897157951204,0.38333333333333336,0.36666666666666664,6283.500168085098
5,1.5192611983383486,0.4,0.4,6316.820665359497
6,1.552433428040491,0.4,0.36666666666666664,6308.898049354553
7,1.5179969312714945,0.4,0.36666666666666664,6317.888010263443
8,1.5046235821492577,0.39166666666666666,0.3333333333333333,6341.773595094681
9,1.4455131787387132,0.4166666666666667,0.36666666666666664,6321.351879358292
10,1.4312428408465145,0.4166666666666667,0.36666666666666664,6293.870198011398
11,1.430303762491765,0.4083333333333333,0.4,6299.418028831482
12,1.4052145353542533,0.425,0.4,6273.200247526169
13,1.3889848837474332,0.4166666666666667,0.36666666666666664,6255.573291540146
14,1.377239069647392,0.4166666666666667,0.36666666666666664,6226.104017972946
15,1.3378235743060936,0.4166666666666667,0.36666666666666664,6220.350577354431
16,1.314813051607065,0.4166666666666667,0.36666666666666664,6235.04626250267
17,1.304590343970004,0.4166666666666667,0.4,6250.389848709106
18,1.294771068814531,0.4166666666666667,0.4,6214.005738973618
19,1.319969651491706,0.425,0.36666666666666664,6264.688611984253
20,1.2632652469054233,0.45,0.4,6305.9759521484375
21,1.2687646477314658,0.44166666666666665,0.4666666666666667,6304.89329457283
22,1.2599849232920193,0.44166666666666665,0.4,6306.104756116867
23,1.2549735710577627,0.43333333333333335,0.43333333333333335,6311.800223350525
24,1.2299685800757387,0.45,0.43333333333333335,6298.938867330551
25,1.2208764686323386,0.45,0.5,6275.590079545975
26,1.2219256421241929,0.44166666666666665,0.5,6275.380818128586
27,1.207841101624039,0.44166666666666665,0.5,6258.350238084793
28,1.2344786645704597,0.4666666666666667,0.4666666666666667,6251.298882484436
29,1.1855968969637751,0.4666666666666667,0.5,6267.5453045368195
30,1.173074277854549,0.49166666666666664,0.5666666666666667,6260.035065412521
31,1.166203955048984,0.4666666666666667,0.5333333333333333,6277.948770523071
32,1.215156035670174,0.475,0.5,6265.806133031845
33,1.140547901040894,0.48333333333333334,0.5,6298.9994695186615
34,1.1257059614512408,0.5,0.5666666666666667,6289.133474349976
35,1.1093223095707738,0.5,0.5333333333333333,6251.412042617798
36,1.1316958126181091,0.48333333333333334,0.5333333333333333,6282.550840616226
37,1.1198757348782635,0.5,0.5666666666666667,6330.643505811691
38,1.1333943646439262,0.49166666666666664,0.5666666666666667,6314.070333957672
39,1.0813845017569728,0.5083333333333333,0.5333333333333333,6288.156995773315
40,1.0912838918710699,0.5,0.6,6284.823991537094
41,1.0900487165967274,0.5,0.5333333333333333,6255.691705942154
42,1.0859300488134733,0.5166666666666667,0.5666666666666667,6236.63738822937
43,1.0967852669389562,0.5083333333333333,0.5666666666666667,6240.760851621628
44,1.0917679203574822,0.525,0.5666666666666667,6220.620000362396
45,1.0823471139024419,0.5333333333333333,0.5666666666666667,6282.520373344421
46,1.0819102500216224,0.55,0.6,6262.6663546562195
47,1.0805123986635274,0.5166666666666667,0.6,6297.3604464530945
48,1.0688357623161047,0.5166666666666667,0.5666666666666667,6257.543796539307
49,1.0696280229175708,0.5,0.6333333333333333,6269.540328979492
50,1.0571831884620433,0.5083333333333333,0.5666666666666667,6287.084449052811
