epoch,train_loss,train_MAE,train_RMSE,test_MAE,test_RMSE,time
1,0.21250273287296295,0.37366950511932373,0.4609801769256592,0.25653964281082153,0.3284434378147125,0.8671648502349854
2,0.09946484118700027,0.24354268610477448,0.3153804838657379,0.18518169224262238,0.2430197149515152,0.09498214721679688
3,0.05966298282146454,0.1981591135263443,0.24426007270812988,0.18334051966667175,0.22009649872779846,0.0969400405883789
4,0.05017857253551483,0.18315258622169495,0.22400574386119843,0.18025828897953033,0.21405838429927826,0.09508776664733887
5,0.04604829102754593,0.17594648897647858,0.21458865702152252,0.17727085947990417,0.2094876617193222,0.09227299690246582
6,0.043468356132507324,0.17208769917488098,0.20849065482616425,0.17463205754756927,0.2066776603460312,0.09574270248413086
7,0.04171186313033104,0.16964580118656158,0.20423482358455658,0.17064693570137024,0.20140503346920013,0.08638978004455566
8,0.04003531113266945,0.16534599661827087,0.2000882625579834,0.1703392118215561,0.20045915246009827,0.08748126029968262
9,0.03900301456451416,0.16307584941387177,0.1974918097257614,0.16678881645202637,0.19880494475364685,0.08713626861572266
10,0.03770346939563751,0.15994904935359955,0.19417381286621094,0.164491206407547,0.1945599913597107,0.08790993690490723
11,0.037200503051280975,0.16077066957950592,0.19287431240081787,0.1609615683555603,0.1916080266237259,0.08666229248046875
12,0.03462884575128555,0.15263625979423523,0.18608827888965607,0.15824627876281738,0.18961875140666962,0.08765888214111328
13,0.03313109278678894,0.1499871015548706,0.18201948702335358,0.15527532994747162,0.18526889383792877,0.08895373344421387
14,0.03178684785962105,0.14599744975566864,0.17828866839408875,0.1496528834104538,0.17995579540729523,0.08578133583068848
15,0.03154445067048073,0.1452927589416504,0.17760758101940155,0.1477659046649933,0.178053617477417,0.08801960945129395
16,0.03122704103589058,0.1448580026626587,0.17671175301074982,0.14829330146312714,0.17800185084342957,0.08847689628601074
17,0.030209552496671677,0.1424587368965149,0.17380894720554352,0.1439424306154251,0.17376984655857086,0.08634471893310547
18,0.029689732939004898,0.13995835185050964,0.172307088971138,0.1428791582584381,0.17340360581874847,0.09132218360900879
19,0.02956734038889408,0.13968530297279358,0.171951562166214,0.14072631299495697,0.17163774371147156,0.09268450736999512
20,0.029321501031517982,0.13919702172279358,0.17123521864414215,0.13955773413181305,0.17145927250385284,0.09542202949523926
21,0.02916204184293747,0.13795660436153412,0.17076897621154785,0.13786092400550842,0.170199915766716,0.09899401664733887
22,0.028814947232604027,0.13653472065925598,0.1697496622800827,0.13750001788139343,0.1698285937309265,0.09465217590332031
23,0.028828416019678116,0.13826872408390045,0.16978932917118073,0.13662947714328766,0.16969777643680573,0.0919804573059082
24,0.028419585898518562,0.13550522923469543,0.16858109831809998,0.13752542436122894,0.1703941971063614,0.09186387062072754
25,0.02820608951151371,0.13573068380355835,0.1679466813802719,0.13714028894901276,0.1715165376663208,0.09155464172363281
26,0.02908976748585701,0.13684628903865814,0.17055723071098328,0.14144042134284973,0.17401660978794098,0.08675456047058105
27,0.029023369774222374,0.13892601430416107,0.1703624725341797,0.13712041079998016,0.17138968408107758,0.08792233467102051
28,0.028168877586722374,0.13520851731300354,0.16783586144447327,0.13862818479537964,0.1735304743051529,0.0880286693572998
29,0.029112061485648155,0.1379391849040985,0.1706225723028183,0.13640731573104858,0.16952018439769745,0.0916595458984375
30,0.028415456414222717,0.13500255346298218,0.16856884956359863,0.13668261468410492,0.17019441723823547,0.08859610557556152
31,0.028102131560444832,0.13479265570640564,0.167636901140213,0.1380080133676529,0.16987216472625732,0.08761477470397949
32,0.03015500120818615,0.14205387234687805,0.17365194857120514,0.13724485039710999,0.17343373596668243,0.08644247055053711
33,0.028106389567255974,0.13405637443065643,0.16764959692955017,0.13528649508953094,0.16915491223335266,0.08803033828735352
34,0.027916448190808296,0.13326102495193481,0.16708216071128845,0.13463562726974487,0.16834768652915955,0.09441709518432617
35,0.02820325642824173,0.1355457305908203,0.1679382473230362,0.13526135683059692,0.16774405539035797,0.09140944480895996
36,0.02821776643395424,0.1370137631893158,0.16798144578933716,0.1381436139345169,0.1728159487247467,0.08823394775390625
37,0.028001468628644943,0.13501638174057007,0.1673363894224167,0.1351012885570526,0.16893254220485687,0.08743119239807129
38,0.027568114921450615,0.13325931131839752,0.1660364866256714,0.13571469485759735,0.1680167019367218,0.08744096755981445
39,0.027751358225941658,0.13448169827461243,0.16658738255500793,0.13472042977809906,0.16763682663440704,0.08934807777404785
40,0.027647443115711212,0.1339861899614334,0.16627520322799683,0.13432224094867706,0.16744516789913177,0.09676289558410645
41,0.02790793590247631,0.13386395573616028,0.16705667972564697,0.13395239412784576,0.16666848957538605,0.09728479385375977
42,0.027762603014707565,0.13480830192565918,0.166621133685112,0.13574543595314026,0.16744616627693176,0.09595704078674316
43,0.03083987347781658,0.1434064507484436,0.17561285197734833,0.13550791144371033,0.16774897277355194,0.0949242115020752
44,0.02883548103272915,0.13724036514759064,0.16981013119220734,0.13615365326404572,0.16999204456806183,0.09775924682617188
45,0.02870708517730236,0.13791801035404205,0.1694316565990448,0.1317584067583084,0.16453684866428375,0.09587812423706055
46,0.02776274085044861,0.13410785794258118,0.16662155091762543,0.13223707675933838,0.16500815749168396,0.0905296802520752
47,0.027821263298392296,0.1359209269285202,0.16679707169532776,0.13362501561641693,0.16662795841693878,0.08954143524169922
48,0.02769961953163147,0.13421805202960968,0.16643202304840088,0.13368146121501923,0.1669362634420395,0.08695173263549805
49,0.028322122991085052,0.13567741215229034,0.16829177737236023,0.1356641948223114,0.16596971452236176,0.09100985527038574
50,0.02775435335934162,0.1354488730430603,0.16659638285636902,0.13416144251823425,0.16723443567752838,0.09503984451293945
