Epoch,Loss,Train RMSE,Test RMSE,Time
1,5.328505935052385,5.282402525731087,5.13575301792791,2923.690257549286
2,4.663101149513871,4.660418053141781,4.463880959833908,2937.992509365082
3,4.170056862824425,4.166165269347247,4.011046428022966,2957.4310188293457
4,3.762789558781042,3.7591221248869955,3.6372134894376207,2950.880534172058
5,3.424312462128708,3.4209534596012965,3.3231152180487475,2941.786644220352
6,3.1407152012217807,3.1376619629985445,3.057114067892481,2937.8315007686615
7,2.9011383735392364,2.8983738916165636,2.830158406776512,2969.9441821575165
8,2.6970945375890514,2.69459590877103,2.635075716916103,2976.83700633049
9,2.5219211490946383,2.5196632738214033,2.4661618524229363,2954.4700360298157
10,2.370364373395685,2.3683221548600595,2.318866555596094,2900.5131301879883
11,2.238261980700122,2.2364115867838437,2.189547880112804,2895.3179569244385
12,2.122300717101408,2.1206202318943483,2.0752799966436615,2908.93199968338
13,2.0198299416677448,2.018299631318277,1.9737026195089304,2931.401552438736
14,1.9287179844351736,1.927320329430966,1.8829029354457163,2903.373622894287
15,1.8472410806520247,1.8459606748062267,1.8013229375990534,2914.7159373760223
16,1.7739972383224392,1.772820618818384,1.7276866313359878,2888.883175134659
17,1.7078392518841026,1.7067547004435235,1.6609427924507523,2924.433074951172
18,1.6478224612462977,1.6468198004195138,1.6002199033677043,2917.2660434246063
19,1.5931638973369968,1.592234295508931,1.5447906298609322,2924.925351858139
20,1.5432102423198413,1.5423460344403659,1.494043776033305,2944.9909410476685
21,1.497412629672735,1.496607156664615,1.4474621045977865,2923.7997415065765
22,1.455306763904831,1.4545542312949078,1.404604760581479,2936.543050765991
23,1.4164971869219751,1.415792541887395,1.3650933109644998,2902.272674560547
24,1.3806447840269995,1.3799836093547333,1.3286006272546147,2907.381129026413
25,1.3474568267825375,1.346835249949998,1.2948420056820726,2893.2238624095917
26,1.3166790071505212,1.3160936226821836,1.2635680508066962,2920.548186302185
27,1.2880890385427501,1.2875368418773254,1.234558950853522,2936.078136444092
28,1.2614914930780339,1.2609698243277179,1.207619853279896,2927.1607959270477
29,1.23671361683866,1.236220112996669,1.1825771118065658,2952.674501180649
30,1.2136019211308122,1.2131344754627271,1.1592752252318568,2940.180305957794
31,1.192019391411012,1.1915761189365377,1.1375743267713208,2957.486161708832
32,1.171843189503278,1.1714223976314493,1.117348112753493,2904.4705946445465
33,1.1529627511956102,1.1525629147156802,1.098482123074466,2895.8215279579163
34,1.135278201959354,1.1348979417111937,1.0808723042907957,2936.238795042038
35,1.1186990296832118,1.1183370943359392,1.0644238007220737,2929.188697576523
36,1.103142965960312,1.1027982164175132,1.049049930308606,2911.782490491867
37,1.0885350373888887,1.0882064334149315,1.034671310903928,2944.2314705848694
38,1.0748067561463135,1.0744933448725857,1.021215109705984,2920.4765226840973
39,1.0618954252387138,1.0615963312628527,1.0086143940588757,2893.0031661987305
40,1.049743538676238,1.0494579555129702,0.9968075662127849,2917.265739917755
41,1.038298260658447,1.0380254433389255,0.9857378680663043,2885.811902999878
42,1.0275109708943315,1.0272502295429227,0.9753529446309339,2921.055341243744
43,1.0173368655976494,1.0170875598420175,0.9656044571070088,2937.873190164566
44,1.0077346056238263,1.0074961397167093,0.9564477381651281,2984.2506091594696
45,0.9986660047535687,0.998437823303527,0.9478414833822706,2929.260585308075
46,0.9900957523619963,0.9898773365862837,0.9397474738617156,2951.2785234451294
47,0.9819911657043219,0.9817820301303267,0.9321303259289438,2937.929818868637
48,0.9743219678498767,0.9741216574027666,0.9249572644877038,2931.9707679748535
49,0.967060087944981,0.9668681753685876,0.91819791717727,2947.0250160694122
50,0.960179481012724,0.9599955645786169,0.9118241269218219,2936.9317531585693
